,Finding,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Cause,Unnamed: 7,Unnamed: 8,Implication,Unnamed: 10,Unnamed: 11,Recommendations,Unnamed: 13,Unnamed: 14
0,Management Response We have remeasured all quantities for IPC-7 and accordingly corrected. Comment To be followed up Audit, , , , , , , , , , , , , , 
1,"9: Overpayment computation on ODIDA ROAD (0.24KM) The Auditor conducted measurements of 5 BoQ Items. Of these items checked, the item that was found to have been overpaid was 23.18(a); as shown in the table below; the total amount of overpayment computed being UGX 9,078,048. Some items were observed to have been underpaid; as shown in the table inset below; which requires re-checking and resolving through subsequent IPCs. Location Unit Measured Qty Certified Qty Rate Amount of Overpayment Remarks Difference (Certified- Audit) Item No. Item Description 9) ODIDA ROAD (0.24KM) 23.01(a) Precast concrete Class 30 barrier kerb ref. ANNEX 3.1.5(b)(iii)_9(a) 23.17(b) Precast Cover slabs without up stand beam ref. ANNEX 3.1.5(b)(iii)_9(b) 23.17(c ) Cover slabs with Up stand beam ref. ANNEX 3.1.5(b)(iii)_9(b) 23.18(a) Class 30 precast concrete Access Slab ref. ANNEX 3.1.5(b)(iii)_9 (c) 42.01(a) Asphalt concrete (A/C) ref. ANNEX 3.1.5(b)(iii)_9(d) 0 0 0 Quantities should be checked to resolve underpayment Quantities should be checked to resolve underpayment Ok Quantities should be checked to resolve overpayment m 398.30 383.49 -14.81 51,200 No. 251.00 240.00 -11.00 126,700 No. 138.00 137.00 -1.00 158,350 No. 298.24 355.12 56.88 159,600 9,078,048 m3 102.78 99.27 -3.51 896,800 TOTAL 9,078,048", , , , , , , , , , , , , , 
2, , , , , , , , , , , , , , , 
3, , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , 
6, , , , , , , , , , , , , , , 
7, , , , , , , , , , , , , , , 
8, , , , , , , , , , , , , , , 
9, , , , , , , , , , , , , , , 
10, , , , , , , , , , , , , , , 
