,1548,Nansana-Busunju Section I,952,Masaka-Bukakata road,"18,895,000"
0, , ,1278,Kampala-Jinja Expressway,"93,311,575"
1, , ,1549,Nansana-Busunju II,"43,830,000"
2, , , , , 
3,1549,Nansana-Busunju II,1035,Mpigi-Kabulassoke (135km),"466,778,412"
4, , ,1278,Kampala-Jinja Expressway,"3,949,598,339"
5, , ,1403,Soroti - Katakwi-Moroto- Lokiutonyala,"1,035,026,436"
6, , ,1490,Luwero- Butalangu,"403,692,817"
7, , ,1510,UNRA Retooling Project,"100,000,000"
8, , , , , 
9,1550,Namunsi-Sironko/ Muyembe-Kapchorwa Section I,1278,Kampala-Jinja Expressway,"1,052,205,410"
10, , ,1281,Tirinyi-Pallisa-Kumi/Kamonkoli,"2,241,363,614"
11, , ,RM01,Road maintenance,"3,981,839,838"
12, , , , , 
13,1551,Fortportal Kyenjojo road,1278,Kampala-Jinja Expressway,"204,157,496"
14, , ,1403,Soroti - Katakwi-Moroto- Lokiutonyala,"148,359,290"
15, , ,1553,Ishaka-Rugazi-Katunguru road,"117,560,085"
16, , , , , 
17,1553,Ishaka-Rugazi- Katunguru road,1310,Albertine Region Sustainable Dev't,"28,625,000"
18, , ,1403,Soroti - Katakwi-Moroto- Lokiutonyala,"304,489,027"
19, , ,RM01,Road maintenance,"78,091,473"
20, , , , , 
21,1554,Nakalama-Tirinyi- Mbale road,1274,Musita-Lumino-Busia (104km),"1,493,798,576"
22, , ,1510,UNRA Retooling Project,"40,189,117"
23, , ,RM01,Road maintenance,"34,610,883"
24, , , , , 
25,TOTAL SUM, , , ,"288,713,825,335"
