,APPROVED STAFF ESTABLISHMENT FOR GULU DISTRICT LOCAL GOVERNMENT,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0, ,Job Title,Approved,Filled,Vacant
1, ,Officer Of The Chief Administrative Officer,3,2,1
2, ,Administration Department,29,26,3
3, ,Finance Department,14,12,2
4, ,Planning Department,4,1,3
5, ,Works Department,18,16,2
6, ,Education Department,7,6,1
7, ,Community Based Services Department,8,7,1
8, ,Gulu Juvenile Centre/Remand Home,12,3,9
9, ,Natural Resources Department,9,7,2
10, ,Production Department,16,7,9
11, ,"Trade, Commerce, Industry and Local Economic Development Department",6,2,4
12, ,Health Services Department,10,8,2
13, , ,136,97,39
14, ,Approved Staff Establishment For Sub County Gulu District Local Government, , , 
15, ,Job Title,Approved,Filled,Vacant
